enrollment_date,gender,age,enrollment_status,aadhaar_generated,region_code,district
2025-12-30,Male,80,Generated,True,KA-BLR,Mumbai
2024-09-10,Female,15,Pending,False,UP-LKO,Mumbai
2024-10-08,Other,51,Verified,False,TN-CHN,Mysuru
2025-01-21,Male,32,Generated,True,MH-NSK,Coimbatore
2025-06-15,Female,80,Verified,False,UP-LKO,Coimbatore
2025-06-15,Female,21,Verified,False,MH-NSK,Mysuru
2025-10-24,Male,87,Generated,True,TN-CHN,Mumbai
2025-10-27,Other,35,Verified,False,TN-CBE,Mysuru
2024-09-16,Female,75,Verified,False,KA-MYS,Agra
2024-11-30,Female,13,Verified,False,MH-MUM,Coimbatore
2026-02-02,Other,33,Verified,False,UP-AGR,Agra
2026-02-26,Male,75,Rejected,False,MH-PUN,Pune
2025-10-25,Other,92,Verified,False,UP-LKO,Bengaluru
2024-08-30,Female,71,Generated,True,UP-AGR,Pune
2024-10-30,Female,52,Pending,False,MH-NSK,Mysuru
2026-01-10,Other,32,Generated,True,TN-CHN,Chennai
2025-08-13,Male,40,Rejected,False,TN-CHN,Pune
2026-04-14,Male,75,Generated,True,MH-PUN,Nashik
2025-05-30,Other,92,Verified,False,TN-CBE,Lucknow
2025-08-29,Female,12,Verified,False,UP-LKO,Pune
2025-05-20,Other,26,Generated,True,KA-BLR,Mumbai
2025-09-28,Male,7,Rejected,False,KA-BLR,Agra
2026-03-02,Other,85,Verified,False,UP-LKO,Chennai
2025-07-09,Male,82,Pending,False,TN-CBE,Pune
2024-10-21,Other,20,Verified,False,TN-CBE,Coimbatore
2025-09-30,Female,74,Verified,False,MH-NSK,Pune
2026-01-20,Male,56,Rejected,False,KA-MYS,Nashik
2025-04-15,Male,93,Verified,False,KA-BLR,Pune
2024-08-09,Male,37,Verified,False,TN-CBE,Chennai
2025-09-24,Female,62,Verified,False,MH-MUM,Chennai
2026-01-05,Other,84,Rejected,False,UP-AGR,Nashik
2025-08-06,Other,19,Verified,False,MH-MUM,New Delhi
2026-01-19,Other,40,Verified,False,KA-BLR,Pune
2026-03-04,Female,46,Generated,True,KA-BLR,Pune
2026-01-17,Male,87,Generated,True,MH-MUM,Nashik
2024-09-23,Male,27,Verified,False,UP-AGR,New Delhi
2024-09-04,Male,53,Verified,False,UP-AGR,Bengaluru
2026-03-01,Male,47,Verified,False,DL-NDL,Coimbatore
2025-06-23,Other,20,Pending,False,UP-AGR,Lucknow
2024-09-22,Male,89,Generated,True,MH-NSK,Mysuru
2025-06-19,Other,51,Verified,False,UP-AGR,Nashik
2024-10-23,Other,26,Pending,False,TN-CBE,Bengaluru
2024-05-23,Female,11,Pending,False,MH-NSK,Chennai
2025-12-19,Other,34,Verified,False,MH-MUM,New Delhi
2024-06-03,Other,67,Generated,True,MH-NSK,Mumbai
2025-09-16,Other,24,Generated,True,TN-CBE,Bengaluru
2024-11-08,Male,7,Verified,False,UP-LKO,Chennai
2025-10-19,Male,95,Verified,False,UP-AGR,Coimbatore
2026-03-26,Female,17,Verified,False,MH-PUN,Mumbai
2025-07-17,Female,13,Verified,False,KA-MYS,Lucknow
2025-06-07,Female,63,Generated,True,DL-NDL,Nashik
2025-08-18,Male,26,Verified,False,UP-LKO,Mysuru
2026-01-07,Male,8,Verified,False,TN-CHN,Bengaluru
2025-05-27,Male,47,Generated,True,TN-CBE,Mumbai
2025-05-28,Female,72,Verified,False,UP-LKO,Chennai
2026-03-25,Female,62,Generated,True,KA-BLR,Bengaluru
2024-07-06,Female,89,Pending,False,TN-CBE,Lucknow
2025-02-18,Female,94,Verified,False,UP-LKO,Lucknow
2025-05-13,Female,35,Verified,False,UP-AGR,Nashik
2025-05-31,Male,32,Verified,False,TN-CBE,Bengaluru
2024-08-05,Other,86,Verified,False,TN-CHN,Coimbatore
2026-01-18,Other,13,Verified,False,MH-MUM,New Delhi
2025-11-21,Other,69,Verified,False,KA-BLR,Chennai
2025-02-28,Female,76,Generated,True,MH-PUN,Bengaluru
2026-03-15,Female,45,Verified,False,TN-CBE,Coimbatore
2025-02-14,Female,84,Verified,False,UP-AGR,Nashik
2024-12-26,Other,43,Verified,False,MH-MUM,New Delhi
2024-06-06,Male,58,Verified,False,MH-PUN,Mysuru
2026-01-04,Male,68,Pending,False,UP-AGR,Lucknow
2025-07-25,Male,54,Verified,False,KA-MYS,Chennai
2025-06-05,Other,18,Generated,True,UP-AGR,Chennai
2024-05-10,Female,42,Verified,False,KA-MYS,New Delhi
2026-01-11,Male,28,Rejected,False,UP-AGR,Bengaluru
2024-06-16,Other,48,Pending,False,MH-PUN,Pune
2024-09-10,Male,75,Verified,False,MH-NSK,Mumbai
2025-10-22,Female,50,Verified,False,KA-BLR,Coimbatore
2024-08-06,Female,25,Verified,False,UP-LKO,Agra
2025-01-13,Female,7,Verified,False,MH-PUN,Lucknow
2024-11-26,Male,23,Verified,False,MH-NSK,Bengaluru
2024-10-02,Other,22,Pending,False,UP-AGR,New Delhi
2025-04-10,Male,41,Rejected,False,MH-MUM,Bengaluru
2025-01-26,Other,75,Verified,False,KA-MYS,Lucknow
2025-04-19,Other,74,Verified,False,TN-CBE,Bengaluru
2025-10-14,Male,63,Verified,False,DL-NDL,Lucknow
2024-11-28,Other,85,Verified,False,UP-AGR,Nashik
2025-10-04,Female,42,Verified,False,MH-PUN,Mysuru
2024-06-30,Other,48,Rejected,False,DL-NDL,Mumbai
2024-08-25,Other,56,Generated,True,UP-AGR,Mysuru
2025-10-31,Male,17,Verified,False,UP-AGR,Chennai
2024-08-15,Female,7,Verified,False,KA-MYS,Pune
2024-10-18,Female,88,Verified,False,DL-NDL,Lucknow
2025-07-26,Other,39,Verified,False,UP-LKO,Agra
2024-05-01,Other,8,Verified,False,MH-PUN,New Delhi
2025-02-23,Female,83,Rejected,False,TN-CHN,Lucknow
2026-03-27,Female,25,Rejected,False,MH-MUM,Coimbatore
2024-07-22,Female,63,Verified,False,TN-CHN,Coimbatore
2024-05-03,Other,67,Verified,False,TN-CBE,Bengaluru
2024-05-22,Female,46,Verified,False,UP-AGR,Bengaluru
2025-11-09,Other,15,Verified,False,MH-NSK,Bengaluru
2025-10-09,Male,94,Generated,True,KA-MYS,Coimbatore
2024-10-08,Male,45,Generated,True,DL-NDL,Bengaluru
2024-12-31,Other,46,Rejected,False,UP-AGR,Bengaluru
2024-11-29,Female,54,Verified,False,MH-MUM,Agra
2025-08-12,Other,79,Rejected,False,UP-LKO,Agra
2025-04-15,Female,83,Verified,False,MH-NSK,Lucknow
2025-11-02,Male,62,Verified,False,DL-NDL,Coimbatore
2025-03-11,Male,88,Generated,True,MH-MUM,Mumbai
2026-04-02,Male,49,Verified,False,MH-NSK,Mysuru
2025-07-22,Female,5,Verified,False,UP-AGR,Bengaluru
2025-03-17,Female,39,Pending,False,UP-LKO,Coimbatore
2026-01-19,Female,23,Verified,False,TN-CHN,Chennai
2025-06-10,Male,18,Generated,True,UP-LKO,Pune
2024-12-26,Other,63,Verified,False,DL-NDL,Coimbatore
2025-05-18,Other,8,Verified,False,KA-BLR,Chennai
2025-07-27,Male,42,Rejected,False,KA-BLR,Mysuru
2025-06-04,Female,89,Rejected,False,TN-CHN,Mumbai
2025-07-14,Male,43,Rejected,False,KA-MYS,Pune
2025-09-21,Male,13,Generated,True,TN-CHN,Chennai
2024-09-17,Male,34,Rejected,False,UP-AGR,Agra
2026-03-02,Female,94,Verified,False,KA-MYS,Chennai
2025-09-10,Male,24,Generated,True,TN-CHN,Agra
2024-12-17,Other,84,Pending,False,MH-MUM,Coimbatore
2025-04-17,Male,82,Generated,True,MH-NSK,Coimbatore
2024-09-07,Other,41,Verified,False,TN-CHN,New Delhi
2025-09-20,Female,49,Verified,False,UP-LKO,Chennai
2024-05-10,Male,46,Verified,False,TN-CHN,Agra
2025-02-25,Female,56,Verified,False,MH-PUN,Bengaluru
2026-02-17,Male,87,Generated,True,TN-CBE,Coimbatore
2025-03-16,Other,47,Verified,False,KA-MYS,Nashik
2026-02-07,Female,81,Verified,False,DL-NDL,Bengaluru
2024-12-01,Male,76,Rejected,False,TN-CHN,Agra
2025-08-06,Female,64,Verified,False,MH-MUM,Mysuru
2025-08-28,Other,16,Verified,False,TN-CHN,Mumbai
2025-12-02,Other,73,Verified,False,TN-CBE,Chennai
2025-08-10,Female,78,Generated,True,UP-AGR,Mumbai
2024-12-23,Female,68,Pending,False,UP-LKO,Agra
2025-06-17,Male,5,Verified,False,KA-MYS,Chennai
2026-01-15,Male,16,Verified,False,TN-CHN,Mysuru
2025-10-26,Female,77,Generated,True,TN-CHN,Pune
2026-02-22,Other,73,Verified,False,TN-CBE,Bengaluru
2025-12-11,Other,27,Verified,False,MH-PUN,Mysuru
2025-08-18,Female,18,Rejected,False,KA-BLR,Bengaluru
2024-06-02,Female,27,Verified,False,TN-CBE,Mysuru
2024-11-12,Female,6,Verified,False,MH-PUN,Mumbai
2024-07-17,Male,64,Verified,False,UP-AGR,Chennai
2025-04-12,Male,21,Verified,False,TN-CBE,Bengaluru
2025-11-03,Female,25,Verified,False,TN-CHN,Lucknow
2025-05-18,Female,82,Verified,False,MH-MUM,Bengaluru
2025-01-12,Male,60,Generated,True,TN-CBE,Bengaluru
2024-09-08,Other,19,Rejected,False,DL-NDL,Nashik
2024-09-14,Male,28,Pending,False,KA-BLR,Pune
2025-02-08,Male,80,Verified,False,TN-CBE,Chennai
2025-10-26,Other,86,Verified,False,MH-PUN,Coimbatore
2025-02-22,Male,59,Generated,True,TN-CBE,Coimbatore
2025-02-15,Male,61,Verified,False,UP-AGR,Mysuru
2024-09-04,Other,33,Verified,False,MH-NSK,Mumbai
2025-05-18,Other,89,Rejected,False,KA-MYS,Bengaluru
2025-10-24,Female,81,Verified,False,KA-BLR,Lucknow
2024-05-13,Other,21,Generated,True,MH-PUN,Mysuru
2025-02-07,Other,51,Generated,True,UP-LKO,Mysuru
2024-08-08,Male,46,Verified,False,UP-AGR,Pune
2024-07-14,Male,78,Verified,False,KA-BLR,Mumbai
2024-05-20,Male,90,Generated,True,MH-PUN,Coimbatore
2025-09-08,Other,49,Pending,False,DL-NDL,Nashik
2025-02-15,Male,81,Rejected,False,UP-LKO,Nashik
2026-02-28,Female,91,Verified,False,MH-NSK,Lucknow
2025-03-31,Female,69,Rejected,False,TN-CBE,Chennai
2025-10-17,Other,34,Verified,False,MH-PUN,Pune
2025-06-05,Male,40,Verified,False,KA-MYS,Mysuru
2025-06-21,Female,53,Verified,False,TN-CBE,Mumbai
2024-05-09,Other,67,Verified,False,UP-LKO,Mysuru
2025-07-28,Female,38,Generated,True,TN-CBE,Pune
2025-08-12,Male,66,Verified,False,TN-CBE,Bengaluru
2026-02-11,Male,72,Rejected,False,UP-AGR,Mumbai
2025-12-25,Female,10,Verified,False,UP-AGR,Chennai
2026-03-31,Female,29,Rejected,False,KA-MYS,Pune
2024-10-19,Male,12,Verified,False,TN-CBE,Bengaluru
2024-09-07,Male,84,Verified,False,MH-MUM,Agra
2025-11-20,Female,48,Verified,False,KA-MYS,Nashik
2024-06-10,Male,91,Rejected,False,MH-PUN,Bengaluru
2026-02-14,Female,9,Verified,False,KA-BLR,Mysuru
2025-04-09,Other,79,Rejected,False,TN-CBE,Nashik
2025-10-18,Male,82,Generated,True,DL-NDL,Nashik
2025-09-16,Female,35,Verified,False,MH-PUN,Nashik
2024-12-13,Male,10,Rejected,False,TN-CHN,Chennai
2025-01-02,Male,30,Verified,False,MH-MUM,Agra
2025-03-17,Other,43,Pending,False,MH-MUM,Chennai
2025-02-05,Other,28,Rejected,False,TN-CBE,Chennai
2024-04-28,Female,33,Rejected,False,MH-MUM,Pune
2026-02-01,Male,62,Verified,False,MH-MUM,Coimbatore
2024-09-14,Female,11,Verified,False,UP-AGR,Mumbai
2025-11-01,Male,39,Pending,False,DL-NDL,Mysuru
2025-11-04,Other,62,Verified,False,MH-NSK,New Delhi
2025-06-29,Male,40,Generated,True,TN-CBE,Coimbatore
2025-08-15,Other,36,Verified,False,KA-BLR,Chennai
2025-01-12,Other,93,Verified,False,UP-LKO,Pune
2026-01-14,Female,36,Generated,True,MH-NSK,Mysuru
2026-02-27,Other,76,Verified,False,MH-NSK,New Delhi
2026-01-05,Female,71,Verified,False,UP-AGR,Lucknow
2025-12-30,Female,71,Rejected,False,KA-BLR,Mysuru
2025-05-17,Male,20,Verified,False,UP-LKO,Mumbai
2024-06-29,Female,56,Verified,False,TN-CBE,New Delhi
2024-08-31,Female,18,Rejected,False,UP-LKO,Lucknow
2025-08-13,Other,67,Generated,True,DL-NDL,Chennai
2025-01-09,Male,72,Verified,False,TN-CBE,Agra
2026-01-19,Male,9,Rejected,False,UP-LKO,Coimbatore
2024-08-01,Female,83,Rejected,False,TN-CBE,Lucknow
2025-10-03,Other,35,Generated,True,KA-BLR,Chennai
2024-09-04,Female,42,Verified,False,KA-BLR,Mumbai
2025-10-04,Other,16,Verified,False,UP-AGR,Bengaluru
2025-10-14,Other,24,Verified,False,MH-PUN,New Delhi
2025-07-08,Male,19,Verified,False,MH-MUM,New Delhi
2025-12-18,Female,87,Verified,False,MH-NSK,Agra
2025-03-13,Male,90,Verified,False,KA-MYS,Nashik
2025-01-17,Male,88,Verified,False,MH-NSK,Coimbatore
2024-05-12,Male,63,Verified,False,KA-MYS,Pune
2025-11-28,Female,36,Generated,True,KA-BLR,Nashik
2026-04-06,Male,15,Pending,False,MH-PUN,Bengaluru
2025-04-23,Other,69,Verified,False,MH-NSK,Nashik
2024-11-07,Female,42,Verified,False,KA-BLR,Mumbai
2025-02-01,Male,52,Rejected,False,MH-MUM,Pune
2025-01-21,Other,29,Rejected,False,DL-NDL,Bengaluru
2025-02-05,Female,8,Verified,False,MH-NSK,Lucknow
2025-12-12,Other,14,Verified,False,MH-NSK,Bengaluru
2026-03-27,Female,12,Rejected,False,MH-PUN,Agra
2025-10-18,Female,43,Rejected,False,KA-BLR,Agra
2025-07-31,Male,45,Verified,False,MH-PUN,Mumbai
2024-10-26,Female,18,Generated,True,KA-BLR,Coimbatore
2024-07-14,Other,15,Generated,True,KA-BLR,Coimbatore
2026-03-31,Female,88,Verified,False,UP-AGR,New Delhi
2024-08-30,Female,13,Verified,False,KA-BLR,Lucknow
2024-07-02,Male,35,Generated,True,KA-BLR,Pune
2024-05-30,Female,68,Rejected,False,DL-NDL,Lucknow
2024-11-12,Other,69,Generated,True,UP-LKO,Mumbai
2024-10-27,Male,52,Verified,False,TN-CBE,Mysuru
2025-03-22,Male,68,Verified,False,MH-MUM,Lucknow
2024-07-01,Other,61,Rejected,False,MH-MUM,Pune
2025-08-30,Other,56,Rejected,False,DL-NDL,Mumbai
2025-09-03,Male,28,Rejected,False,DL-NDL,Mysuru
2026-04-14,Male,39,Generated,True,UP-AGR,Bengaluru
2024-08-30,Female,36,Verified,False,KA-MYS,Bengaluru
2025-02-05,Female,35,Verified,False,UP-LKO,Mysuru
2025-09-16,Other,64,Verified,False,UP-LKO,Bengaluru
2025-08-11,Other,89,Rejected,False,DL-NDL,New Delhi
2024-11-24,Male,69,Rejected,False,KA-BLR,Pune
2025-12-24,Female,27,Rejected,False,MH-PUN,Mumbai
2025-02-09,Male,29,Verified,False,KA-BLR,Agra
2026-03-19,Other,19,Pending,False,UP-LKO,Nashik
2024-07-18,Other,62,Generated,True,TN-CBE,Chennai
2026-02-17,Other,28,Rejected,False,TN-CHN,Mumbai
2024-10-12,Female,53,Pending,False,DL-NDL,Mysuru
2025-10-21,Female,18,Verified,False,UP-AGR,Agra
2025-10-14,Other,88,Rejected,False,TN-CHN,Bengaluru
2025-01-03,Other,87,Verified,False,MH-MUM,Lucknow
2024-08-16,Female,22,Verified,False,KA-BLR,Nashik
2024-12-21,Female,67,Rejected,False,TN-CBE,Chennai
2024-06-10,Female,74,Verified,False,KA-MYS,Lucknow
2024-06-12,Other,35,Generated,True,MH-NSK,Nashik
2025-12-10,Male,27,Verified,False,UP-LKO,Mysuru
2025-03-08,Female,29,Generated,True,KA-BLR,Coimbatore
2026-03-04,Other,25,Verified,False,TN-CHN,Nashik
2025-06-26,Male,59,Rejected,False,UP-LKO,Bengaluru
2024-05-07,Female,32,Verified,False,MH-PUN,Agra
2025-08-08,Female,27,Pending,False,UP-AGR,Pune
2025-03-10,Male,47,Generated,True,KA-BLR,Bengaluru
2025-02-09,Female,95,Generated,True,DL-NDL,Coimbatore
2024-07-04,Female,22,Verified,False,UP-AGR,Nashik
2026-01-15,Female,43,Pending,False,TN-CHN,Nashik
2025-03-19,Other,78,Verified,False,UP-AGR,Agra
2024-09-23,Male,84,Verified,False,UP-AGR,Bengaluru
2025-11-26,Female,66,Verified,False,UP-LKO,Bengaluru
2025-08-12,Female,24,Generated,True,TN-CHN,Bengaluru
2025-05-20,Other,53,Verified,False,MH-MUM,Bengaluru
2025-03-16,Female,74,Generated,True,MH-MUM,Mumbai
2026-03-04,Other,68,Rejected,False,MH-MUM,Mumbai
2025-10-06,Male,48,Rejected,False,DL-NDL,Bengaluru
2025-07-28,Female,9,Generated,True,UP-LKO,Bengaluru
2025-11-26,Male,56,Verified,False,DL-NDL,Chennai
2025-03-29,Female,28,Generated,True,MH-MUM,Lucknow
2026-03-30,Female,92,Verified,False,DL-NDL,Lucknow
2024-10-25,Male,94,Verified,False,DL-NDL,Pune
2025-07-29,Other,44,Pending,False,TN-CHN,Lucknow
2026-02-01,Male,87,Verified,False,KA-MYS,Lucknow
2026-01-28,Female,58,Verified,False,MH-MUM,Mumbai
2025-03-13,Other,95,Verified,False,KA-MYS,Lucknow
2024-06-03,Other,91,Rejected,False,MH-NSK,Lucknow
2026-01-31,Male,8,Generated,True,TN-CHN,Mysuru
2024-06-07,Other,5,Generated,True,MH-NSK,Lucknow
2025-04-28,Other,52,Rejected,False,KA-BLR,Mysuru
2025-05-11,Other,19,Verified,False,DL-NDL,Coimbatore
2026-01-24,Female,53,Verified,False,KA-MYS,New Delhi
2025-05-21,Other,72,Verified,False,DL-NDL,Lucknow
2024-11-13,Female,19,Verified,False,MH-PUN,Mysuru
2024-07-08,Other,17,Generated,True,MH-MUM,Mysuru
2026-03-12,Female,40,Rejected,False,KA-MYS,New Delhi
2025-07-02,Female,87,Verified,False,MH-MUM,Bengaluru
2024-10-20,Other,72,Verified,False,DL-NDL,Bengaluru
2025-05-05,Female,80,Pending,False,UP-LKO,Lucknow
2024-09-23,Other,10,Verified,False,DL-NDL,Mumbai
2024-08-26,Male,78,Generated,True,UP-LKO,Mumbai
2025-06-29,Male,46,Generated,True,KA-BLR,Agra
2024-04-27,Female,64,Verified,False,KA-BLR,Nashik
2025-05-14,Male,92,Rejected,False,TN-CHN,Pune
2025-04-18,Female,10,Generated,True,KA-BLR,New Delhi
2024-09-22,Female,33,Verified,False,KA-MYS,Nashik
2024-12-05,Male,70,Generated,True,DL-NDL,Agra
2024-10-08,Female,26,Pending,False,MH-MUM,Lucknow
2025-12-03,Female,29,Generated,True,DL-NDL,Nashik
2025-10-01,Male,10,Generated,True,KA-MYS,Mumbai
2025-12-18,Male,24,Rejected,False,UP-LKO,Bengaluru
2025-04-17,Female,15,Rejected,False,MH-NSK,Pune
2025-03-15,Female,60,Rejected,False,MH-PUN,Agra
2025-02-08,Female,16,Verified,False,MH-NSK,New Delhi
2024-11-15,Female,23,Generated,True,UP-LKO,Mumbai
2025-01-22,Female,69,Pending,False,TN-CHN,Lucknow
2024-08-25,Other,77,Generated,True,MH-NSK,New Delhi
2024-11-11,Male,87,Generated,True,TN-CBE,Chennai
2025-12-04,Other,75,Generated,True,DL-NDL,Bengaluru
2026-04-04,Other,21,Generated,True,TN-CHN,Mysuru
2026-01-29,Female,30,Verified,False,MH-MUM,Coimbatore
2024-10-06,Female,63,Verified,False,MH-NSK,Bengaluru
2025-05-14,Male,26,Verified,False,KA-MYS,Pune
2025-09-18,Other,58,Verified,False,MH-NSK,Mysuru
2025-03-13,Female,90,Rejected,False,UP-LKO,Coimbatore
2025-01-31,Other,27,Verified,False,KA-MYS,Chennai
2026-01-14,Other,40,Verified,False,KA-BLR,Mysuru
2024-07-15,Female,43,Verified,False,TN-CHN,Lucknow
2025-01-30,Female,36,Generated,True,KA-BLR,Lucknow
2026-01-03,Female,9,Generated,True,MH-MUM,Coimbatore
2024-06-22,Other,7,Verified,False,TN-CHN,Pune
2026-02-20,Other,18,Verified,False,DL-NDL,Lucknow
2024-12-14,Other,83,Generated,True,MH-PUN,Nashik
2024-06-21,Other,63,Verified,False,TN-CBE,Lucknow
2024-06-21,Female,93,Verified,False,MH-MUM,Mumbai
