update_date,update_type,update_status,region_code,district
2024-08-20,Photo,Approved,TN-CHN,Nashik
2025-11-28,Photo,Approved,MH-PUN,Mysuru
2025-09-19,Name,Approved,KA-MYS,Mysuru
2025-09-25,Photo,Approved,TN-CBE,Coimbatore
2025-03-01,Email,Approved,TN-CBE,Agra
2025-06-09,Photo,Approved,MH-MUM,Pune
2025-06-22,Mobile,Approved,KA-BLR,Pune
2024-08-15,Name,Pending,UP-AGR,Lucknow
2024-11-18,Biometric,Pending,UP-LKO,Coimbatore
2026-04-15,Name,Rejected,MH-NSK,Mysuru
2025-07-14,Photo,Approved,MH-PUN,Lucknow
2025-01-27,Mobile,Pending,UP-AGR,Agra
2024-09-08,Name,Pending,UP-AGR,Lucknow
2024-04-30,Mobile,Pending,MH-PUN,Agra
2025-11-14,Email,Pending,KA-MYS,Bengaluru
2026-03-30,Name,Rejected,TN-CHN,Bengaluru
2025-09-10,Mobile,Rejected,TN-CBE,Coimbatore
2024-10-20,DOB,Rejected,KA-MYS,Mumbai
2026-03-11,Email,Rejected,KA-MYS,Pune
2025-05-01,Address,Approved,UP-LKO,New Delhi
2025-11-24,Email,Approved,KA-BLR,Bengaluru
2026-01-05,Name,Pending,MH-MUM,Coimbatore
2025-06-04,Email,Pending,MH-NSK,Agra
2026-03-19,Photo,Approved,MH-PUN,Coimbatore
2024-12-22,Name,Pending,MH-NSK,Agra
2024-09-08,Mobile,Approved,KA-MYS,Lucknow
2024-09-30,Name,Approved,UP-AGR,Agra
2024-11-03,DOB,Approved,TN-CHN,Agra
2024-07-30,Photo,Approved,MH-MUM,Pune
2025-12-17,Mobile,Approved,TN-CHN,Bengaluru
2024-11-17,Name,Approved,MH-PUN,Bengaluru
2024-07-30,Name,Approved,TN-CHN,Bengaluru
2024-10-18,Biometric,Rejected,KA-MYS,Coimbatore
2024-04-27,Photo,Rejected,MH-MUM,Mumbai
2024-05-27,Biometric,Pending,KA-MYS,Nashik
2024-06-15,Biometric,Approved,DL-NDL,Mysuru
2024-06-13,Mobile,Rejected,KA-MYS,Chennai
2026-02-26,Photo,Approved,KA-BLR,Mysuru
2024-08-02,Email,Pending,MH-NSK,New Delhi
2025-01-26,Mobile,Rejected,TN-CBE,Pune
2024-06-10,Email,Approved,TN-CHN,Mumbai
2024-04-29,Address,Approved,MH-PUN,Mumbai
2025-07-18,Biometric,Approved,TN-CHN,Nashik
2024-07-08,Address,Rejected,TN-CHN,Nashik
2024-10-05,DOB,Approved,TN-CBE,Mysuru
2024-12-13,Name,Approved,MH-PUN,Lucknow
2024-12-12,Mobile,Approved,MH-MUM,New Delhi
2025-05-16,Mobile,Approved,KA-BLR,Bengaluru
2026-01-02,Biometric,Approved,MH-MUM,Chennai
2024-10-15,Name,Approved,UP-LKO,Lucknow
2026-01-08,Mobile,Rejected,UP-AGR,Mumbai
2024-08-02,Email,Pending,TN-CHN,Pune
2025-09-16,Biometric,Approved,KA-MYS,Mumbai
2025-02-25,Photo,Rejected,KA-BLR,Coimbatore
2024-05-13,Name,Pending,MH-PUN,Lucknow
2024-12-18,Name,Pending,KA-BLR,Bengaluru
2025-08-25,Email,Approved,TN-CHN,Pune
2025-02-19,Email,Approved,MH-PUN,Lucknow
2024-08-09,DOB,Pending,UP-AGR,Lucknow
2025-08-11,DOB,Approved,KA-BLR,Mumbai
2024-04-20,Address,Approved,TN-CBE,Chennai
2024-10-08,Photo,Approved,MH-MUM,Pune
2025-03-12,Mobile,Pending,MH-NSK,Chennai
2024-07-28,Biometric,Rejected,KA-BLR,Bengaluru
2025-10-10,DOB,Approved,UP-LKO,Mysuru
2026-01-20,Biometric,Rejected,KA-BLR,Lucknow
2025-01-06,Mobile,Pending,KA-BLR,Mysuru
2025-08-30,Email,Rejected,UP-LKO,Agra
2025-05-18,Address,Approved,TN-CBE,Coimbatore
2025-11-15,Name,Approved,TN-CBE,Mysuru
2024-08-23,Address,Rejected,TN-CHN,Lucknow
2024-05-01,Photo,Rejected,KA-MYS,Bengaluru
2025-10-24,Email,Approved,UP-AGR,Chennai
2024-12-25,Biometric,Approved,TN-CHN,Coimbatore
2024-12-24,DOB,Approved,MH-MUM,Mumbai
2025-05-15,Address,Rejected,TN-CHN,Lucknow
2026-01-26,Email,Approved,UP-LKO,Chennai
2025-10-21,Biometric,Rejected,MH-PUN,Bengaluru
2025-12-26,Biometric,Pending,UP-LKO,Agra
2025-12-11,DOB,Approved,MH-MUM,New Delhi
2025-01-24,DOB,Approved,UP-AGR,Pune
2024-07-08,DOB,Rejected,KA-MYS,Mysuru
2025-05-19,Address,Approved,UP-LKO,Mumbai
2024-08-07,Mobile,Approved,KA-BLR,New Delhi
2025-07-17,Email,Approved,MH-PUN,Pune
2024-07-20,Biometric,Approved,MH-MUM,New Delhi
2026-02-13,DOB,Pending,UP-AGR,Nashik
2025-11-10,Address,Approved,TN-CHN,New Delhi
2024-05-11,Name,Pending,MH-PUN,Mysuru
2025-09-30,Biometric,Rejected,UP-AGR,Nashik
2024-08-15,Email,Approved,MH-PUN,Bengaluru
2025-03-03,Photo,Approved,MH-PUN,Agra
2026-01-20,DOB,Approved,KA-MYS,Chennai
2025-11-18,Biometric,Pending,KA-BLR,Mysuru
2024-11-11,Biometric,Approved,KA-MYS,Mysuru
2024-10-31,Mobile,Rejected,MH-PUN,Chennai
2026-02-02,Biometric,Approved,UP-AGR,Agra
2026-02-13,DOB,Pending,TN-CHN,Mysuru
2025-09-14,Mobile,Approved,MH-MUM,Pune
2024-12-19,Mobile,Rejected,MH-NSK,Lucknow
2025-08-19,Name,Approved,TN-CBE,Nashik
2025-09-04,Name,Pending,TN-CBE,Chennai
2025-05-25,Photo,Approved,MH-MUM,Chennai
2026-02-12,Address,Approved,MH-MUM,Mysuru
2025-12-27,Photo,Rejected,UP-LKO,Coimbatore
2025-01-30,DOB,Pending,UP-AGR,New Delhi
2024-05-22,DOB,Pending,MH-MUM,New Delhi
2025-04-27,Photo,Approved,UP-AGR,Bengaluru
2024-06-17,Mobile,Approved,DL-NDL,Agra
2024-06-09,Mobile,Pending,UP-LKO,Agra
2024-09-15,Address,Approved,MH-MUM,Chennai
2026-04-01,Mobile,Rejected,TN-CHN,Pune
2025-11-28,Biometric,Approved,UP-AGR,Agra
2024-05-04,Name,Pending,UP-LKO,Mysuru
2025-03-15,Address,Rejected,KA-BLR,Lucknow
2024-05-01,Mobile,Approved,KA-MYS,Lucknow
2025-01-16,Name,Approved,TN-CBE,Pune
2025-11-17,Biometric,Approved,UP-LKO,Nashik
2025-06-01,Email,Pending,UP-AGR,Coimbatore
2025-02-21,Name,Approved,TN-CHN,Agra
2025-12-21,Photo,Pending,MH-NSK,Bengaluru
2024-10-02,Email,Approved,MH-PUN,Chennai
2025-02-10,Biometric,Approved,MH-PUN,Pune
2025-05-02,Mobile,Approved,DL-NDL,Mysuru
2025-06-05,Photo,Approved,TN-CBE,Coimbatore
2025-08-19,Mobile,Rejected,MH-MUM,Mysuru
2024-11-30,Biometric,Pending,UP-AGR,Nashik
2024-11-19,Biometric,Pending,KA-BLR,Mysuru
2025-01-22,Mobile,Rejected,KA-BLR,Mysuru
2024-09-09,Name,Approved,MH-MUM,Coimbatore
2025-05-04,Photo,Approved,DL-NDL,Coimbatore
2025-10-21,Mobile,Rejected,MH-NSK,Mysuru
2024-10-29,Photo,Approved,MH-PUN,Mumbai
2024-06-09,Biometric,Pending,TN-CBE,Lucknow
2025-01-04,Name,Pending,TN-CBE,Mysuru
2024-07-11,DOB,Approved,TN-CBE,Lucknow
2024-11-12,Name,Rejected,MH-NSK,Mumbai
2024-10-13,Address,Approved,KA-BLR,Lucknow
2025-05-14,Name,Approved,UP-LKO,Agra
2025-01-03,Address,Rejected,TN-CHN,Lucknow
2025-04-21,Mobile,Approved,TN-CHN,Lucknow
2025-05-15,Email,Approved,TN-CBE,Chennai
2026-02-24,DOB,Approved,UP-LKO,Agra
2025-01-23,Biometric,Approved,MH-NSK,Pune
2026-02-27,Address,Approved,MH-NSK,Mysuru
2024-10-28,DOB,Approved,TN-CBE,Pune
2025-01-06,Name,Approved,MH-MUM,Pune
2024-09-26,Email,Pending,UP-AGR,Lucknow
2026-02-01,DOB,Pending,MH-NSK,Agra
2025-01-31,Photo,Approved,KA-BLR,Bengaluru
2024-09-14,Email,Approved,MH-NSK,Bengaluru
2026-04-17,Photo,Approved,KA-BLR,New Delhi
2026-01-30,Photo,Pending,TN-CHN,Chennai
2024-05-10,Photo,Pending,MH-PUN,Mysuru
2025-06-30,Address,Approved,MH-NSK,New Delhi
2025-12-28,Biometric,Pending,KA-MYS,Bengaluru
2024-07-16,DOB,Approved,MH-MUM,Bengaluru
2025-09-30,Address,Approved,MH-NSK,Bengaluru
2025-10-13,Email,Approved,MH-MUM,Lucknow
2024-06-15,Email,Pending,MH-PUN,Chennai
2024-12-07,Email,Approved,DL-NDL,Bengaluru
2025-09-29,Mobile,Approved,MH-MUM,Coimbatore
2024-05-26,Biometric,Approved,UP-AGR,Nashik
2026-04-10,Address,Approved,MH-NSK,Lucknow
2024-08-06,Name,Approved,KA-BLR,Chennai
2025-04-26,Biometric,Approved,MH-MUM,Pune
2025-09-09,Mobile,Approved,TN-CHN,Nashik
2024-04-30,Photo,Approved,KA-BLR,New Delhi
2024-12-22,Photo,Approved,MH-NSK,Bengaluru
2024-10-31,DOB,Approved,MH-MUM,Coimbatore
2025-01-17,Biometric,Rejected,UP-AGR,Bengaluru
2024-09-19,DOB,Approved,MH-MUM,New Delhi
2024-12-29,Biometric,Approved,KA-MYS,Agra
2024-06-07,Photo,Rejected,DL-NDL,Lucknow
2024-10-01,Email,Pending,KA-BLR,Lucknow
2024-07-27,Biometric,Approved,MH-MUM,Bengaluru
2024-05-26,DOB,Pending,KA-MYS,Lucknow
2025-03-20,Photo,Rejected,DL-NDL,New Delhi
2026-01-09,DOB,Approved,KA-BLR,Chennai
2025-12-15,Name,Pending,DL-NDL,Mysuru
2026-03-18,DOB,Pending,MH-NSK,Mumbai
2025-10-31,Mobile,Rejected,KA-BLR,Pune
2026-03-13,Name,Approved,UP-LKO,New Delhi
2024-08-04,DOB,Approved,KA-MYS,Pune
2024-06-20,Email,Approved,TN-CHN,Bengaluru
2025-09-26,Address,Approved,UP-LKO,Bengaluru
2024-07-18,DOB,Approved,KA-MYS,Mysuru
2025-12-27,Biometric,Approved,MH-NSK,Mysuru
2025-03-10,Mobile,Approved,UP-LKO,New Delhi
2024-12-19,DOB,Approved,KA-BLR,Nashik
2025-02-05,DOB,Pending,UP-AGR,Pune
2024-11-23,DOB,Rejected,UP-AGR,Coimbatore
2025-03-20,Mobile,Approved,MH-NSK,Nashik
2026-02-10,Photo,Approved,TN-CHN,Chennai
2025-10-30,Biometric,Approved,KA-MYS,New Delhi
2025-08-15,Address,Approved,KA-BLR,New Delhi
2024-10-04,Photo,Approved,TN-CHN,Coimbatore
2025-01-05,Email,Approved,KA-BLR,Agra
2025-12-04,Email,Rejected,MH-PUN,Chennai
2024-08-14,Mobile,Rejected,DL-NDL,Bengaluru
2025-05-09,Address,Approved,TN-CHN,Bengaluru
2025-12-25,Photo,Pending,DL-NDL,Pune
2025-07-03,Photo,Rejected,KA-MYS,Lucknow
2025-02-16,Email,Approved,UP-LKO,Pune
2025-06-14,Email,Rejected,MH-MUM,Chennai
2024-09-08,Address,Approved,UP-AGR,Lucknow
2025-11-23,Mobile,Approved,UP-AGR,New Delhi
2024-12-30,Name,Pending,MH-MUM,Lucknow
2025-05-13,Email,Rejected,MH-PUN,New Delhi
2025-04-27,Name,Rejected,KA-BLR,Mysuru
2025-06-12,Email,Approved,TN-CBE,Bengaluru
2025-09-14,DOB,Approved,KA-MYS,Nashik
2026-01-15,Photo,Approved,MH-PUN,Mumbai
2024-07-02,Biometric,Approved,UP-LKO,New Delhi
2025-05-30,Email,Approved,TN-CHN,Bengaluru
2024-09-07,Mobile,Approved,KA-BLR,Mumbai
2024-11-23,DOB,Approved,TN-CBE,Nashik
2025-04-12,Name,Approved,KA-MYS,Nashik
2024-11-08,Name,Rejected,MH-NSK,Chennai
2024-11-20,DOB,Rejected,MH-MUM,Coimbatore
2024-10-04,Email,Approved,KA-MYS,Mumbai
2024-10-05,Name,Rejected,MH-NSK,Nashik
2025-09-26,Name,Rejected,TN-CHN,Nashik
2026-04-06,Photo,Approved,TN-CHN,Agra
2024-05-16,Mobile,Approved,KA-MYS,Agra
2026-02-16,Photo,Approved,DL-NDL,Coimbatore
2024-05-19,Photo,Approved,UP-LKO,Mumbai
2025-06-11,Name,Rejected,DL-NDL,Lucknow
2025-02-09,DOB,Approved,TN-CBE,Coimbatore
2024-07-15,Photo,Pending,UP-LKO,Agra
